departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,05,19,00,2017,06,05,19,11,2017,06,05,20,38
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,05,21,00,2017,06,05,21,01,2017,06,05,22,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,06,07,00,2017,06,06,07,03,2017,06,06,08,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,06,09,00,2017,06,06,09,08,2017,06,06,10,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,06,10,00,2017,06,06,10,09,2017,06,06,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,06,11,00,2017,06,06,11,02,2017,06,06,12,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,06,13,00,2017,06,06,13,06,2017,06,06,14,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,06,14,00,2017,06,06,14,02,2017,06,06,15,31
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,06,17,00,2017,06,06,17,05,2017,06,06,18,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,06,19,00,2017,06,06,19,02,2017,06,06,20,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,06,21,00,2017,06,06,21,02,2017,06,06,22,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,06,07,00,2017,06,06,07,08,2017,06,06,08,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,06,08,00,2017,06,06,08,03,2017,06,06,09,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,06,09,00,2017,06,06,09,02,2017,06,06,10,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,06,11,00,2017,06,06,11,08,2017,06,06,12,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,06,12,00,2017,06,06,12,02,2017,06,06,13,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,06,13,00,2017,06,06,13,04,2017,06,06,14,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,06,15,00,2017,06,06,15,07,2017,06,06,16,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,06,17,00,2017,06,06,17,06,2017,06,06,18,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,06,19,00,2017,06,06,19,05,2017,06,06,20,38
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,06,21,00,2017,06,06,21,09,2017,06,06,22,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,07,07,00,2017,06,07,07,04,2017,06,07,08,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,07,09,00,2017,06,07,09,05,2017,06,07,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,07,10,00,2017,06,07,10,08,2017,06,07,11,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,07,11,00,2017,06,07,11,05,2017,06,07,12,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,07,13,00,2017,06,07,13,05,2017,06,07,14,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,07,14,00,2017,06,07,14,12,2017,06,07,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,07,15,00,2017,06,07,15,06,2017,06,07,16,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,07,17,00,2017,06,07,17,06,2017,06,07,18,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,07,18,00,2017,06,07,18,06,2017,06,07,19,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,07,19,00,2017,06,07,19,00,2017,06,07,20,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,07,21,00,2017,06,07,20,59,2017,06,07,22,24
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,07,07,00,2017,06,07,07,06,2017,06,07,08,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,07,08,00,2017,06,07,08,02,2017,06,07,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,07,09,00,2017,06,07,09,00,2017,06,07,10,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,07,11,00,2017,06,07,11,03,2017,06,07,12,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,07,12,00,2017,06,07,12,07,2017,06,07,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,07,13,00,2017,06,07,13,02,2017,06,07,14,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,07,15,00,2017,06,07,15,07,2017,06,07,16,31
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,07,16,00,2017,06,07,16,09,2017,06,07,17,40
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,07,17,00,2017,06,07,17,05,2017,06,07,18,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,07,19,00,2017,06,07,19,04,2017,06,07,20,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,07,21,00,2017,06,07,20,59,2017,06,07,22,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,08,07,00,2017,06,08,07,01,2017,06,08,08,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,08,09,00,2017,06,08,09,34,2017,06,08,10,58
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,08,10,00,2017,06,08,10,00,2017,06,08,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,08,11,00,2017,06,08,11,00,2017,06,08,12,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,08,12,00,2017,06,08,12,01,2017,06,08,13,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,08,13,00,2017,06,08,13,20,2017,06,08,14,52
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,08,14,00,2017,06,08,14,03,2017,06,08,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,08,15,00,2017,06,08,15,01,2017,06,08,16,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,08,16,00,2017,06,08,16,01,2017,06,08,17,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,08,17,00,2017,06,08,17,13,2017,06,08,18,38
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,08,18,00,2017,06,08,18,00,2017,06,08,19,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,08,19,00,2017,06,08,19,02,2017,06,08,20,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,08,07,00,2017,06,08,07,37,2017,06,08,09,04
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,08,08,00,2017,06,08,08,03,2017,06,08,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,08,09,00,2017,06,08,08,59,2017,06,08,10,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,08,11,00,2017,06,08,11,26,2017,06,08,12,50
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,08,12,00,2017,06,08,12,04,2017,06,08,13,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,08,13,00,2017,06,08,13,00,2017,06,08,14,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,08,14,00,2017,06,08,14,03,2017,06,08,15,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,08,15,00,2017,06,08,15,22,2017,06,08,16,44
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,08,16,00,2017,06,08,16,02,2017,06,08,17,34
